id,name,platform,genre,publisher,developer,rating,year,critic_score,critic_count,user_score
1,Wii Sports,Wii,Sports,Nintendo,Nintendo,E,0.705882352941174,0.5510204081632654,0.40952380952380957,0.7941176470588234
2,Super Mario Bros.,NES,Platform,Nintendo,,,0.08823529411764497,0.7959183673469387,0.4761904761904762,0.7941176470588234
3,Mario Kart Wii,Wii,Racing,Nintendo,Nintendo,E,0.7647058823529349,0.673469387755102,0.6190476190476191,0.838235294117647
4,Wii Sports Resort,Wii,Sports,Nintendo,Nintendo,E,0.7941176470588189,0.6326530612244897,0.6190476190476191,0.7941176470588234
5,Pokemon Red/Pokemon Blue,GB,Role-Playing,Nintendo,,,0.4117647058823479,0.7959183673469387,0.4761904761904762,0.7941176470588234
6,Tetris,GB,Puzzle,Nintendo,,,0.20588235294117396,0.7959183673469387,0.4761904761904762,0.7941176470588234
7,New Super Mario Bros.,DS,Platform,Nintendo,Nintendo,E,0.705882352941174,0.8163265306122448,0.5428571428571429,0.8676470588235292
8,Wii Play,Wii,Misc,Nintendo,Nintendo,E,0.705882352941174,0.1836734693877552,0.31428571428571433,0.5882352941176469
9,New Super Mario Bros. Wii,Wii,Platform,Nintendo,Nintendo,E,0.7941176470588189,0.7755102040816325,0.6857142857142857,0.8529411764705881
10,Duck Hunt,NES,Shooter,Nintendo,,,0.058823529411760944,0.7959183673469387,0.4761904761904762,0.7941176470588234
11,Nintendogs,DS,Simulation,Nintendo,,,0.6764705882352899,0.7959183673469387,0.4761904761904762,0.7941176470588234
12,Mario Kart DS,DS,Racing,Nintendo,Nintendo,E,0.6764705882352899,0.8571428571428571,0.5333333333333334,0.8823529411764703
13,Pokemon Gold/Pokemon Silver,GB,Role-Playing,Nintendo,,,0.5,0.7959183673469387,0.4761904761904762,0.7941176470588234
14,Wii Fit,Wii,Sports,Nintendo,Nintendo,E,0.735294117647058,0.6326530612244897,0.523809523809524,0.7499999999999998
15,Kinect Adventures!,X360,Misc,Microsoft Game Studios,Good Science Studio,E,0.823529411764703,0.2448979591836734,0.3523809523809524,0.5441176470588234
16,Wii Fit Plus,Wii,Sports,Nintendo,Nintendo,E,0.7941176470588189,0.6326530612244897,0.23809523809523814,0.7058823529411764
17,Grand Theft Auto V,PS3,Action,Take-Two Interactive,Rockstar North,M,0.9117647058823479,0.9795918367346937,0.4,0.8235294117647056
18,Grand Theft Auto: San Andreas,PS2,Action,Take-Two Interactive,Rockstar North,M,0.6470588235294059,0.9387755102040817,0.6857142857142857,0.9411764705882351
19,Super Mario World,SNES,Platform,Nintendo,,,0.235294117647058,0.7959183673469387,0.4761904761904762,0.7941176470588234
20,Brain Age: Train Your Brain in Minutes a Day,DS,Misc,Nintendo,Nintendo,E,0.6764705882352899,0.5714285714285715,0.4761904761904762,0.7794117647058822
21,Pokemon Diamond/Pokemon Pearl,DS,Role-Playing,Nintendo,,,0.705882352941174,0.7959183673469387,0.4761904761904762,0.7941176470588234
22,Super Mario Land,GB,Platform,Nintendo,,,0.20588235294117396,0.7959183673469387,0.4761904761904762,0.7941176470588234
23,Super Mario Bros. 3,NES,Platform,Nintendo,,,0.17647058823528994,0.7959183673469387,0.4761904761904762,0.7941176470588234
24,Grand Theft Auto V,X360,Action,Take-Two Interactive,Rockstar North,M,0.9117647058823479,0.9795918367346937,0.4761904761904762,0.8088235294117645
